N,OscNum,Topology,Coupling,InDegree,FreqVar,DelayConst,DelayVar,c1,c2
6,2,near4,0.99,4,0,0,0,1.63362817986669,3.76991118430775
6,3,near4,0.99,4,0,0,0,1.75929188601028,3.70707933123596
6,4,near4,0.99,4,0,0,0,2.01061929829747,3.76991118430775
6,5,near4,0.99,4,0,0,0,1.82212373908208,3.51858377202057
6,6,near4,0.99,4,0,0,0,1.82212373908208,3.76991118430775
6,1,lop4,0.99,4,0,0,0,1.5707963267949,3.70707933123596
6,2,lop4,0.99,4,0,0,0,1.69646003293849,3.70707933123596
6,3,lop4,0.99,4,0,0,0,1.82212373908208,3.70707933123596
6,4,lop4,0.99,4,0,0,0,1.69646003293849,3.83274303737955
6,5,lop4,0.99,4,0,0,0,1.75929188601028,3.64424747816416
6,6,lop4,0.99,4,0,0,0,1.94778744522567,3.58141562509236
6,1,lop4,0.99,4,0,0,0,1.69646003293849,3.70707933123596
6,2,lop4,0.99,4,0,0,0,1.75929188601028,3.83274303737955
6,3,lop4,0.99,4,0,0,0,1.75929188601028,3.70707933123596
6,4,lop4,0.99,4,0,0,0,1.75929188601028,3.70707933123596
6,5,lop4,0.99,4,0,0,0,1.75929188601028,3.64424747816416
6,6,lop4,0.99,4,0,0,0,1.75929188601028,3.70707933123596
6,1,lop4,0.99,4,0,0,0,1.69646003293849,3.76991118430775
6,2,lop4,0.99,4,0,0,0,1.75929188601028,3.64424747816416
6,3,lop4,0.99,4,0,0,0,1.75929188601028,3.83274303737955
6,4,lop4,0.99,4,0,0,0,1.75929188601028,3.70707933123596
6,5,lop4,0.99,4,0,0,0,1.88495559215388,3.70707933123596
6,6,lop4,0.99,4,0,0,0,1.88495559215388,3.70707933123596
7,1,lop4,0.99,4,0,0,0,1.75929188601028,3.45575191894877
7,2,lop4,0.99,4,0,0,0,1.69646003293849,3.64424747816416
7,3,lop4,0.99,4,0,0,0,1.69646003293849,3.89557489045134
7,4,lop4,0.99,4,0,0,0,1.75929188601028,3.64424747816416
7,5,lop4,0.99,4,0,0,0,1.69646003293849,3.70707933123596
7,6,lop4,0.99,4,0,0,0,1.63362817986669,3.76991118430775
7,7,lop4,0.99,4,0,0,0,1.82212373908208,3.76991118430775
7,1,lop4,0.99,4,0,0,0,1.69646003293849,3.76991118430775
7,2,lop4,0.99,4,0,0,0,1.69646003293849,3.83274303737955
7,3,lop4,0.99,4,0,0,0,1.69646003293849,3.83274303737955
7,4,lop4,0.99,4,0,0,0,1.69646003293849,3.89557489045134
7,5,lop4,0.99,4,0,0,0,1.69646003293849,3.76991118430775
7,6,lop4,0.99,4,0,0,0,1.69646003293849,3.95840674352314
7,7,lop4,0.99,4,0,0,0,1.82212373908208,3.76991118430775
7,1,lop4,0.99,4,0,0,0,1.82212373908208,3.64424747816416
7,2,lop4,0.99,4,0,0,0,1.69646003293849,3.70707933123596
7,3,lop4,0.99,4,0,0,0,1.88495559215388,3.70707933123596
7,4,lop4,0.99,4,0,0,0,1.82212373908208,3.64424747816416
7,5,lop4,0.99,4,0,0,0,1.75929188601028,3.51858377202057
7,6,lop4,0.99,4,0,0,0,1.75929188601028,3.70707933123596
7,7,lop4,0.99,4,0,0,0,1.69646003293849,3.58141562509236
7,1,near4,0.99,4,0,0,0,1.94778744522567,3.51858377202057
7,2,near4,0.99,4,0,0,0,1.5079644737231,3.76991118430775
7,3,near4,0.99,4,0,0,0,1.82212373908208,3.58141562509236
7,4,near4,0.99,4,0,0,0,1.82212373908208,3.64424747816416
7,5,near4,0.99,4,0,0,0,1.88495559215388,3.58141562509236
7,6,near4,0.99,4,0,0,0,1.82212373908208,3.64424747816416
7,7,near4,0.99,4,0,0,0,1.82212373908208,3.58141562509236
7,1,near4,0.99,4,0,0,0,1.94778744522567,3.70707933123596
7,2,near4,0.99,4,0,0,0,1.88495559215388,3.58141562509236
7,3,near4,0.99,4,0,0,0,1.82212373908208,3.70707933123596
7,4,near4,0.99,4,0,0,0,1.88495559215388,3.64424747816416
7,5,near4,0.99,4,0,0,0,1.82212373908208,3.58141562509236
7,6,near4,0.99,4,0,0,0,1.69646003293849,3.64424747816416
7,7,near4,0.99,4,0,0,0,1.63362817986669,3.83274303737955
7,1,near4,0.99,4,0,0,0,2.01061929829747,3.70707933123596
7,2,near4,0.99,4,0,0,0,1.94778744522567,3.51858377202057
7,3,near4,0.99,4,0,0,0,1.88495559215388,3.64424747816416
7,4,near4,0.99,4,0,0,0,1.75929188601028,3.76991118430775
7,5,near4,0.99,4,0,0,0,1.82212373908208,3.64424747816416
7,6,near4,0.99,4,0,0,0,2.01061929829747,3.58141562509236
7,7,near4,0.99,4,0,0,0,1.63362817986669,3.64424747816416
9,1,all,0.99,8,0,0,0,0.879645943005142,4.20973415581032
9,2,all,0.99,8,0,0,0,0.942477796076938,4.27256600888212
9,3,all,0.99,8,0,0,0,0.879645943005142,4.33539786195391
9,4,all,0.99,8,0,0,0,1.00530964914873,4.20973415581032
